"","Clade","numberTipsClade","numberTipsTrimmed","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector","MeadianEp","MaxEp","MeanEp","allTrimmedSizes_3.4","Labels"
"146",17416,49,42,1.20870957470305,0.694365074829414,0.049819233531735,27.5370927318296,17.615848040848,21.1788047617614,0.0875,0.55,0.5,0.341463414634146,10,4,0.75609756097561,0.469990926895518,10,37.7799198616935,-1.19769774336522,7.51091753380594,1.67865876560403,4.71483759178456,0.121142744074799,0.682191780821918,23,33558,2057,0.00188679245283019,0.316743423950084,0.861338184722025,0.861338184722025,0.859932112664301,49,1.16666666666667
"147",17418,28,28,1.47136169850021,0.917913720165266,0.011003267456707,17.8717647058824,12.2198773448773,10.4146208886093,0.115384615384615,0.538461538461538,0.535714285714286,0.481481481481481,8,2,0.740740740740741,0.488434910602043,7,50.8439534819757,-0.84598053756561,4.45713411772481,2.08630702305706,5.96707919066978,0.057960497623707,0.358904109589041,16,10628,923,0.0040650406504065,0.327288559687361,0.868765070847614,0.868765070847614,0.866639561458912,28,1
"148",17485,42,35,1.41985914794391,0.840324801844354,0.00607034837458499,16.8914242990221,17.7198773448773,18.4022396283555,0.0606060606060606,0.333333333333333,0.342857142857143,0.382352941176471,10,4,0.617647058823529,0.595294744832943,12,27.5112794245939,-2.37604517896846,3.98223486910154,1.38196899679795,4.03947619470194,0.0437459887056193,0.284931506849315,15,18220,1539,0.00309597523219814,0.349898859004337,0.850607742566895,0.850607742566895,0.850607742566895,42,1.2
"149",17491,18,15,1.32542096736876,0.602464076076709,0.00828758364743711,8.24615384615385,7.03333333333333,7.84848631576512,0.192307692307692,0.538461538461538,0.6,0.5,6,2,0.714285714285714,0.579866562009419,4,12.1636936797285,0.433477608087109,2.31795525161237,1.14574592124639,2.78947201162699,0.0483652700152207,0.249315068493151,10,2026,249,0.0113636363636364,0.407855335782616,0.85263022574763,0.85263022574763,0.85263022574763,18,1.2
"150",17532,22,22,1.48271407283675,0.881875690380025,0.00646631346439632,12.7773504273504,9.68654401154401,7.68771071476197,0.116666666666667,0.5,0.409090909090909,0.571428571428571,8,4,0.714285714285714,0.512894248608534,6,44.3038615933922,0.163147015837757,4.52360588623875,2.28338606142948,8.0562744628586,0.0435637552360466,0.358903287671233,14,5702,539,0.00571428571428571,0.366562079902847,0.911682785121063,0.911682785121063,0.905353215939277,22,1
"151",17599,8,8,1.54679608384557,0.928077650307344,0.00595780033417978,6,2.45,3.93156329237382,1,1,0.375,1,2,1,0.857142857142857,0.370408163265306,1,8.37465104494346,2.38289392506364,2.63752566923593,1.5335276644889,3.72132847391814,0.0390414113869863,0.194522515068493,8,378,55,0.0285714285714286,0.43677028799772,0.901473173257149,0.901473173257149,0.901473173257149,8,1
"152",17617,229,161,3.92880380153728,3.70362939975468,0.0138620251818013,124.709011332993,43.0936264408513,82.0019753801506,0.0281521413596885,0.635220125786163,0.186335403726708,0.64375,8,4,0.8125,0.284415488002776,30,147.690702953869,-4.64518229750478,43.2706948301281,2.45749298807709,8.09531130376955,0.0660380664326222,0.526029315068493,105,1818956,28537,0.000123823675086677,0.349305980151952,0.803712947180833,0.803712947180833,0.795718239713171,229,1.4223602484472
"153",17763,21,21,1.49635124733252,0.831306248518066,0.006142207046789,8.83650075414781,11.0511904761905,10.9596904854764,0.105263157894737,0.368421052631579,0.428571428571429,0.45,8,4,0.55,0.643759825700615,7,17.3809476109042,-0.912767042629161,2.2354533968401,1.53696818183522,3.83910477593921,0.0425311627049359,0.295892246849315,10,4560,491,0.00719424460431655,0.375312788423858,0.900685478062607,0.900685478062607,0.900685478062607,21,1
"154",17786,8,8,1.28163104090062,0.486135912065751,0.0216816420130284,4.2,3.58333333333333,3.38894663718035,0.333333333333333,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.603741496598639,2,11.4951193966952,1.2268302695923,0.763141944905827,1.46956257951719,3.50258025194201,0.07589875,0.463012602739726,7,366,59,0.0303030303030303,0.454213803677494,0.90763451856422,0.90763451856422,0.90763451856422,8,1
"155",17808,10,10,1.29653384066904,0.537587202228625,0.0134365513318705,4.5,4.78333333333333,2.80198924880249,0.375,0.5,0.3,0.666666666666667,4,2,0.555555555555556,0.616137566137566,3,27.0508068996307,0.84859320535051,1.09620484876658,2.07047690528088,5.61024332219734,0.0583832767123288,0.391779452054794,9,734,89,0.0185185185185185,0.430748302791855,0.799185381744393,0.799185381744393,0.793859714619828,10,1
