,Clade,numberTipsClade,numberTipsTrimmed,sackin,colless,Variance,I2,B1,B2,avgLadder,ILnumber,pitchforks,maxHeight,MaxWidth,DelW,Stairs1,Stairs2,Cherries,BS,descinm,getstattest,skewness,kurtosis,MeanPairwiseDist,MaxPairwiseDist,diameter,WienerIndex,betweenness,closeness,eigenvector,allTrimmedSizes_3.4,Labels
36,11551,21,21,1.298916013,0.571523046,0.018582476,9.833333333,10.20952381,8.949335267,0.263157895,0.473684211,0.428571429,0.4,10,4,0.55,0.631089744,6,29.81620931,0.083713808,3.436939669,1.832569698,5.348245366,0.070002862,0.632876712,13,5074,517,0.006289308,0.397710006,21,1
37,11579,9,8,1.281631041,0.486135912,0.031876931,2.666666667,4.083333333,3.906595086,0.333333333,0.333333333,0,0.714285714,4,2,0.428571429,0.683333333,3,8.278291202,1.119716836,0.763141945,0.896562192,2.226853217,0.086729726,0.479452055,7,374,57,0.029411765,0.481281237,9,1.125
38,11594,19,19,1.605910137,0.929737448,0.044257042,9.873626374,8.412301587,8.224156375,0.176470588,0.529411765,0.315789474,0.555555556,8,4,0.666666667,0.562604394,5,25.49314049,0.450465797,3.51330802,2.716629805,9.552409965,0.102925637,0.802739726,11,3642,411,0.008196721,0.391122663,19,1
39,11634,18,18,1.571348403,0.942809042,0.025184751,10.23549784,8.162301587,9.298603396,0.125,0.5,0.5,0.588235294,6,2,0.705882353,0.5286667,5,15.17564091,0.72714721,3.065785535,1.446892946,4.12012717,0.079359066,0.526027671,11,3232,359,0.008474576,0.384504668,18,1
40,11687,19,11,1.206045378,0.383741711,0.162982055,5.111111111,5.166666667,4.862300468,0.277777778,0.555555556,0.272727273,0.5,6,2,0.6,0.636666667,3,12.4824242,1.745956688,-0.885954452,1.888181562,5.559034027,0.197985135,0.909589315,10,984,109,0.014925373,0.405453118,19,1.727272727
41,11689,13,13,1.386750491,0.661373311,0.074241767,7.2,5.426190476,6.548087917,0.454545455,0.636363636,0.230769231,0.666666667,6,2,0.666666667,0.541468254,3,10.97813423,0.910807234,1.457995368,1.643727082,4.492173593,0.095809333,1.065753151,11,1506,161,0.011904762,0.37144135,13,1
42,11736,9,9,1.296296296,0.555555556,0.018663733,4.214285714,4.283333333,3.172715904,0.285714286,0.428571429,0.333333333,0.75,4,2,0.625,0.598214286,3,17.58958701,0.32712536,0.4900304,1.510277474,3.917503808,0.063588486,0.399997808,8,518,81,0.025,0.467683869,9,1
43,12234,14,14,1.259945855,0.572702661,0.060649769,7.822222222,6.592857143,6.760664231,0.25,0.5,0.642857143,0.615384615,6,2,0.692307692,0.559532135,4,14.09382996,0.826342488,1.056647299,0.971354302,3.26177789,0.110147997,1.03561789,11,1772,195,0.011363636,0.39790259,14,1
44,12272,17,17,1.169877721,0.428004044,0.058209976,8.628571429,8.233333333,8.082479081,0.133333333,0.466666667,0.529411765,0.4375,8,4,0.6875,0.602777778,5,17.71241095,0.789415508,2.94887068,0.748274438,2.113136777,0.08674231,1.134247753,13,3060,311,0.007936508,0.40257278,17,1
45,12543,117,9,1.62962963,1.037037037,0.041180232,7,2.592857143,4.689193834,1,1,0.333333333,1,2,1,0.875,0.339732143,1,6.984426272,2.670602402,2.681187713,1.424719717,3.994357479,0.081853325,0.47671074,9,536,71,0.022727273,0.416925606,117,13
46,12544,116,10,1.707629936,1.138419958,0.020911487,8,2.717857143,5.255163653,1,1,0.3,1,2,1,0.888888889,0.314329806,1,7.552535957,2.507309027,3.400304667,1.485267775,4.311251856,0.045698537,0.479449863,10,732,89,0.018518519,0.395645371,116,11.6
47,12545,115,46,1.493651121,0.987220054,0.008094295,25.5396735,21.02844141,24.19564004,0.051948052,0.454545455,0.391304348,0.422222222,16,8,0.622222222,0.541035086,13,35.83670468,-2.265907508,8.072859333,1.759891783,5.925114248,0.050401594,0.260275342,24,39852,2573,0.001814882,0.34896782,115,2.5
48,12546,93,93,1.472917407,1.084896773,0.022934544,55.26072312,42.75048199,46.3038071,0.034188034,0.450549451,0.419354839,0.282608696,16,6,0.695652174,0.517942309,26,91.15465519,-7.906186091,13.69857034,1.87457701,6.028440418,0.085856888,0.60000137,31,221250,9675,0.000642261,0.264485122,93,1
49,12638,22,22,1.104767348,0.407019549,0.007573003,8.972727273,12.09285714,10.39445546,0.1,0.3,0.409090909,0.380952381,10,4,0.571428571,0.673738299,8,25.50225438,-0.720165952,1.53174199,1.123958433,3.308235883,0.048613275,0.279452603,12,5324,567,0.006578947,0.382068219,22,1
50,12730,61,58,1.299480905,0.805949829,0.005389744,31.62601794,27.02338772,29.62946399,0.060714286,0.428571429,0.362068966,0.280701754,14,6,0.666666667,0.544051189,17,53.2594274,-4.986001352,8.138313019,1.27143193,3.760525613,0.040528316,0.350687671,22,64460,4151,0.00149925,0.312137937,61,1.051724138
51,12791,11,11,1.397916234,0.685253056,0.012591314,5.833333333,4.95,3.576356529,0.222222222,0.555555556,0.545454545,0.7,4,2,0.7,0.556190476,3,24.37681257,1.087272468,1.503594269,0.883609921,2.296041774,0.059866455,0.312328493,9,902,111,0.016949153,0.400335838,11,1
